[11-29-2023][00.00.28] New Synch Log File Created!
[01:57:06] Player (Mike, 76561198149271912)(<6459.086914, 18.397457, 6052.526855>) requested data for lock!
[01:57:07] Player (Mike, 76561198149271912)(<6901.531250, 37.330975, 6316.758789>) requested data for lock!
[01:57:07] Player (Mike, 76561198149271912)(<6905.119629, 37.132118, 6357.395996>) requested data for lock!
[01:57:07] Player (Mike, 76561198149271912)(<7053.369141, 30.080730, 5847.899902>) requested data for lock!
[01:57:07] Player (Mike, 76561198149271912)(<7067.631836, 29.465645, 5831.862793>) requested data for lock!
[01:57:07] Player (Mike, 76561198149271912)(<7060.294922, 29.417757, 5820.659668>) requested data for lock!
[02:34:10] Player (Nick, 76561198450624975)(<6459.086914, 18.397457, 6052.526855>) requested data for lock!
[02:34:10] Player (Nick, 76561198450624975)(<6901.531250, 37.330975, 6316.758789>) requested data for lock!
[02:34:10] Player (Nick, 76561198450624975)(<6905.119629, 37.132118, 6357.395996>) requested data for lock!
[02:34:10] Player (Nick, 76561198450624975)(<7053.369141, 30.080730, 5847.899902>) requested data for lock!
[02:34:10] Player (Nick, 76561198450624975)(<7067.631836, 29.465645, 5831.862793>) requested data for lock!
[02:34:10] Player (Nick, 76561198450624975)(<7060.294922, 29.417757, 5820.659668>) requested data for lock!
[11-29-2023][06.00.28] Log file reloaded ( Server Restart )
[11-29-2023][12.00.30] Log file reloaded ( Server Restart )
[17:07:53] Player (Nick, 76561198450624975)(<2664.494629, 25.874897, 6042.023926>) requested data for lock!
[17:18:33] Player (Mike, 76561198149271912)(<6459.086914, 18.397457, 6052.526855>) requested data for lock!
[17:18:34] Player (Mike, 76561198149271912)(<7060.294922, 29.417757, 5820.659668>) requested data for lock!
[17:18:34] Player (Mike, 76561198149271912)(<6905.119629, 37.132118, 6357.395996>) requested data for lock!
[17:18:34] Player (Mike, 76561198149271912)(<7067.631836, 29.465645, 5831.862793>) requested data for lock!
[17:18:34] Player (Mike, 76561198149271912)(<6901.531250, 37.330975, 6316.758789>) requested data for lock!
[17:18:35] Player (Mike, 76561198149271912)(<7053.369141, 30.080730, 5847.899902>) requested data for lock!
[17:24:41] Player (Mike, 76561198149271912)(<6459.086914, 18.397457, 6052.526855>) requested data for lock!
[17:24:41] Player (Mike, 76561198149271912)(<7060.294922, 29.417757, 5820.659668>) requested data for lock!
[17:24:41] Player (Mike, 76561198149271912)(<6905.119629, 37.132118, 6357.395996>) requested data for lock!
[17:24:41] Player (Mike, 76561198149271912)(<7067.631836, 29.465645, 5831.862793>) requested data for lock!
[17:24:41] Player (Mike, 76561198149271912)(<6901.531250, 37.330975, 6316.758789>) requested data for lock!
[17:24:42] Player (Mike, 76561198149271912)(<7053.369141, 30.080730, 5847.899902>) requested data for lock!
[11-29-2023][18.00.31] Log file reloaded ( Server Restart )
[18:01:35] Player (Mike, 76561198149271912)(<6459.086914, 18.397457, 6052.526855>) requested data for lock!
[18:01:35] Player (Mike, 76561198149271912)(<6901.531250, 37.330975, 6316.758789>) requested data for lock!
[18:01:35] Player (Mike, 76561198149271912)(<7067.631836, 29.465645, 5831.862793>) requested data for lock!
[18:01:36] Player (Mike, 76561198149271912)(<6905.119629, 37.132118, 6357.395996>) requested data for lock!
[18:01:36] Player (Mike, 76561198149271912)(<7060.294922, 29.417757, 5820.659668>) requested data for lock!
[18:01:36] Player (Mike, 76561198149271912)(<7053.369141, 30.080730, 5847.899902>) requested data for lock!
