02-19 13:14:41 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<75240480>
02-19 13:14:41 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<71a0b9c0>
02-19 14:18:09 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:18:21 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:18:21 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:18:40 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:18:40 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:20:18 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:20:29 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:20:49 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:20:49 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:20:49 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:20:49 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:22:28 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 14:22:41 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 16:07:12 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<75240480>
02-19 16:07:12 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<987da010>
02-19 16:08:52 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<75240480>
02-19 16:08:52 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<86d1e010>
02-19 16:09:53 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<75240480>
02-19 16:09:53 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<86d1e010>
02-19 16:16:14 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:1
02-19 16:16:14 | Server | Debug | recipes | n/a | n/a | Recipe Do method called
02-19 16:17:36 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 16:17:36 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 16:17:36 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 16:17:36 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 16:18:45 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-19 16:35:41 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:1
